experiment_id,timestamp,experiment_name,retrieval_type,k_retrieve,num_queries,num_errors,execution_time,avg_retrieval_time,avg_generation_time,map_score,mrr_score,llm_model,embedding_model,chunk_size,chunk_overlap,temperature,max_tokens,device,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,faithfulness,answer_relevancy,context_relevancy,rougeL,rouge1,bleu,rouge2,bert_score_f1
wikieval_experiment_WikiEval_5row_20260402_135017,2026-04-02T13:50:42.232761,wikieval_experiment_WikiEval_5row,dense,5,5,0,24.26428508758545,0.0,4.844337129592896,1.0,1.0,GigaChat-2-Max,GigaChat-2-Max,800,100,0.2,2000,cuda,1.0,0.6666666666666666,0.52,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5333333333333333,0.5698010263081866,0.5,0.4818261664149273,0.603701242793454,0.2508917610826316,0.4165412715214621,0.0
wikieval_experiment_WikiEval_5row_20260402_135512,2026-04-02T13:55:31.210259,wikieval_experiment_WikiEval_5row,dense,5,5,0,18.748316287994385,0.0,3.740971946716309,1.0,1.0,Qwen/Qwen2.5-0.5B-Instruct,GigaChat-2-Max,800,100,0.2,2000,cuda,1.0,0.6666666666666666,0.52,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5333333333333333,0.5699524110461442,0.5,0.4943001034681849,0.6235244350694267,0.2928757382392088,0.4323906847293944,0.0
wikieval_experiment_WikiEval_5row_20260402_135758,2026-04-02T13:58:16.933779,wikieval_experiment_WikiEval_5row,dense,5,5,0,18.14634776115417,0.0,3.620670938491821,1.0,1.0,Qwen/Qwen2.5-0.5B-Instruct,intfloat/multilingual-e5-base,800,100,0.2,2000,cuda,1.0,0.6666666666666666,0.52,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.770813044629635,0.7,0.5689822505200693,0.6987114188435527,0.3709455757445209,0.5037674766009743,0.0
wikieval_experiment_WikiEval_5row_20260402_140652,2026-04-02T14:07:09.542609,wikieval_experiment_WikiEval_5row,dense,5,5,0,16.719646692276,0.0,3.3364283561706545,1.0,1.0,Qwen/Qwen2.5-0.5B-Instruct,intfloat/multilingual-e5-base,800,100,0.2,5000,cuda,1.0,0.6666666666666666,0.52,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3868904506447032,0.5,0.5132123791318451,0.6248503168458919,0.312603445750909,0.4342055041001463,0.0
wikieval_experiment_WikiEval_5row_20260402_145805,2026-04-02T14:58:27.149868,wikieval_experiment_WikiEval_5row,dense,5,5,0,21.154227256774902,0.0,4.223646116256714,1.0,1.0,Qwen/Qwen2.5-0.5B-Instruct,intfloat/multilingual-e5-base,800,100,0.2,2000,cuda,1.0,0.6666666666666666,0.52,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4978359868338075,0.6253173546589433,0.2910792055485804,0.4338323374515349,0.0
wikieval_experiment_full_20260402_150055,2026-04-02T15:05:15.985452,wikieval_experiment_full,dense,5,50,0,260.5357611179352,0.0,5.204695563316346,1.0,0.9766666666666668,GigaChat-2-Max,GigaChat-2-Max,800,100,0.2,2000,cuda,0.96,0.7933333333333331,0.6080000000000002,0.6080000000000002,0.96,1.0,1.0,1.0,0.96,0.99,1.0,1.0,0.0,0.0,0.0,0.3272173780917873,0.4309635056136464,0.1433791247302138,0.2541732144159444,0.0
WikiEval_1row_experiment_20260402_151332,2026-04-02T15:13:38.089399,WikiEval_1row_experiment,dense,5,1,0,5.89067530632019,0.0,5.878777742385864,1.0,1.0,GigaChat-2-Max,GigaChat-2-Max,800,100,0.2,2000,cuda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7123287671232876,0.8219178082191781,0.5088348748891632,0.591549295774648,0.0
WikiEval_1row_experiment_20260402_152501,2026-04-02T15:25:03.807784,WikiEval_1row_experiment,dense,5,1,0,2.5433194637298584,0.0,2.532851219177246,1.0,1.0,GigaChat-2-Max,GigaChat-2-Max,800,100,0.2,2000,cuda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7123287671232876,0.8219178082191781,0.5088348748891632,0.591549295774648,0.0
WikiEval_1row_experiment_20260402_152838,2026-04-02T15:28:41.602370,WikiEval_1row_experiment,dense,5,1,0,2.6456992626190186,0.0,2.63468599319458,1.0,1.0,GigaChat-2-Max,GigaChat-2-Max,800,100,0.2,2000,cuda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9485870115415388,1.0,0.7123287671232876,0.8219178082191781,0.5088348748891632,0.591549295774648,0.0
wikieval_experiment_WikiEval_5row_20260402_153030,2026-04-02T15:30:50.101941,wikieval_experiment_WikiEval_5row,dense,5,5,0,19.21521258354187,0.0,3.8354235649108888,1.0,1.0,GigaChat-2-Max,GigaChat-2-Max,800,100,0.2,2000,cuda,1.0,0.6666666666666666,0.52,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.964924269462654,0.9,0.4926169678114155,0.6091682778802937,0.2849488024481374,0.4267901088535429,0.0
wikieval_experiment_full_20260402_153352,2026-04-02T15:37:06.017938,wikieval_experiment_full,dense,5,50,0,193.25047039985657,0.0,3.858910984992981,1.0,0.9766666666666668,GigaChat-2-Max,GigaChat-2-Max,800,100,0.2,2000,cuda,0.96,0.7933333333333331,0.6080000000000002,0.6080000000000002,0.96,1.0,1.0,1.0,0.96,0.99,1.0,1.0,0.769521867021867,0.5519784019120753,0.65,0.3388321550947852,0.4426568461340197,0.1531133910365638,0.2609674724075965,0.0
wikieval_experiment_full_20260402_162357,2026-04-02T16:27:02.063830,wikieval_experiment_full,dense,5,50,0,184.11285996437076,0.0,3.676615056991577,1.0,0.9766666666666668,GigaChat-2-Max,GigaChat-2-Max,800,100,0.7,2000,cuda,0.96,0.7933333333333331,0.6080000000000002,0.6080000000000002,0.96,1.0,1.0,1.0,0.96,0.99,1.0,1.0,0.7544879564879564,0.5163374937416231,0.665,0.3358394841308795,0.4330566701172697,0.1486960867514348,0.2619924587507102,0.0
domain_4_WikiEval_2row_experiment_20260403_090235,2026-04-03T09:02:49.034074,domain_4_WikiEval_2row_experiment,dense,5,2,0,13.17931866645813,0.0,6.570312142372131,1.0,1.0,GigaChat-2-Max,GigaChat-2-Max,800,100,0.7,2000,cuda,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7727272727272727,0.9459931394684038,1.0,0.4835745127786207,0.6383475318006768,0.28324731908054995,0.41133449708059955,0.0
